question,response_j,response_k,id_lst
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {돌변하다,언제,한류,동남아}
1. 다양한 나라에서 한류가 유행하고 있다.
2. 동남아에서는 언제부턴가 한류가 갑자기 돌변할 것이다.
3. 언제 동남아로 여행을 가볼까?
4. 어제 그 사람이 갑자기 돌변하더라.",2. 동남아에서는 언제부턴가 한류가 갑자기 돌변할 것이다.,4. 어제 그 사람이 갑자기 돌변하더라.,Kocommon_Gen
"혀를 데였다.
     다음 원인에 적절한 답은 무엇일까요?",뜨거운 음식을 급하게 먹었다.,차가운 음식을 급하게 먹었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {돌아오다,고향,오랜만,감개무량하다}
1. 고향의 오랜 친구를 만났을 때 기쁨을 느꼈다.
2. 오랜만에 돌아온 고향에서의 느낌은 달랐다.
3. 돌아오다니 정말 감개무량하군.
4. 오랜만에 고향에 다시 돌아와서 정말 감개무량했다.",4. 오랜만에 고향에 다시 돌아와서 정말 감개무량했다.,2. 오랜만에 돌아온 고향에서의 느낌은 달랐다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {끼치다,폐,우리,지내다,여기}
1. 이곳에서 지내다 보면 우리 모두 친해질 거야.
2. 여기서 지내는 시간이 너무 행복해.
3. 여태껏 여기서 지내다 보니 우리에게 폐를 많이 끼쳤습니다.
4. 우리에게 폐를 끼치지 말아야 해.",3. 여태껏 여기서 지내다 보니 우리에게 폐를 많이 끼쳤습니다.,4. 우리에게 폐를 끼치지 말아야 해.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {돌려주다,세금,국세청}
1. 국세청 방문을 위해서는 사전 예약이 필요하다.
2. 정부의 지침에 따라 국세청은 세금을 돌려줄 것이다.
3. 세금 환급을 받는 절차가 복잡하다.
4. 국세청은 세금 관련 업무를 처리한다.",2. 정부의 지침에 따라 국세청은 세금을 돌려줄 것이다.,3. 세금 환급을 받는 절차가 복잡하다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {계속되다,파업,노동자들,회사}
1. 노동자들이 복지 개선을 요구하고 있다.
2. 파업으로 인해 일부 서비스가 중단되었다.
3. 회사에서 새로운 규정이 도입되었다.
4. 우리 회사 노동자들의 파업이 한 달째 계속되고 있다.",4. 우리 회사 노동자들의 파업이 한 달째 계속되고 있다.,1. 노동자들이 복지 개선을 요구하고 있다.,Kocommon_Gen
"비밀번호를 잘못 입력했다.
     다음 결과에 적절한 답은 무엇일까요?",로그인이 되지 않는다.,로그인이 되었다.,Hellaswag
"물이 증발했다.
     다음 원인에 적절한 답은 무엇일까요?",주변 온도가 높다.,주변 온도가 낮다.,Hellaswag
"유물이 많이 손상되었다.
     다음 결과에 적절한 답은 무엇일까요?",유물 복원 작업을 시작했다.,복제된 유물 전시를 시작했다.,Hellaswag
"그 소년은 머리를 모두 밀었다.
     다음 원인에 적절한 답은 무엇일까요?",그는 곧 입대한다.,그는 파마를 하려고 한다.,Hellaswag
"수영장에서 나와서 추워서 덜덜 떨었다.
     다음 결과에 적절한 답은 무엇일까요?",타올로 몸을 감쌌다.,레모네이드를 마셨다.,Hellaswag
"여성이 카메라를 응시한다.
     다음 원인에 적절한 답은 무엇일까요?",카메라는 여성을 촬영하는 중이다.,여성은 카메라 메모리 카드를 확인했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {내다,있다,이유,화,그}
1. 내다볼 수 없는 이유로 프로젝트가 지연되고 있다.
2. 그는 화를 잘 낸다.
3. 그가 나에게 화를 내는 것은 이유가 있었다.
4. 이유 없이 화내는 것은 좋지 않다.",3. 그가 나에게 화를 내는 것은 이유가 있었다.,2. 그는 화를 잘 낸다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {애견,미용실,개,맡기다,찾아가다,사람,많다}
1. 개를 맡길 미용실을 찾는 사람이 적다.
2. 미용실에 개를 맡기고 찾아갈 때마다 기쁘다.
3. 요즘 애견 미용실에 개를 맡기고 찾아가지 않는 사람이 많았다.
4. 애견 미용실에는 개를 데려오는 사람들이 많다.",3. 요즘 애견 미용실에 개를 맡기고 찾아가지 않는 사람이 많았다.,4. 애견 미용실에는 개를 데려오는 사람들이 많다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {회사,연구비,신소재,우리,개발하다,들이다}
1. 우리 회사에서 신소재를 개발하고 있다.
2. 연구비를 많이 들였지만, 개발은 지지부진하다.
3. 신소재 개발에 성공한 회사가 많다.
4. 우리 회사는 연구비를 들여 이번에 신소재를 개발했다.",4. 우리 회사는 연구비를 들여 이번에 신소재를 개발했다.,3. 신소재 개발에 성공한 회사가 많다.,Kocommon_Gen
"남자는 양털 부츠를 신었다.
     다음 원인에 적절한 답은 무엇일까요?",남자는 발이 시려웠다.,남자는 발에서 땀이 났다.,Hellaswag
"부동산에 방문했다.
     다음 원인에 적절한 답은 무엇일까요?",이사를 준비하고 있다.,대학 진학을 준비하고 있다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {보이다,얼굴,지금,선량하다}
1. 얼굴에 표정이 보인다.
2. 선량한 마음을 가진 사람이 많다.
3. 어렸을 때처럼 그 얼굴은 지금도 여전히 선량해 보였다.
4. 지금 당신이 무슨 생각을 하는지 알 수 있다.",3. 어렸을 때처럼 그 얼굴은 지금도 여전히 선량해 보였다.,1. 얼굴에 표정이 보인다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {중급,알다,반}
1. 중급 언어 공부는 어렵다.
2. 그는 중급 수준의 게임을 잘 안다.
3. 반에서 중급인 줄로만 알았던 사람이다.
4. 반에 신입생이 하나도 없다.",3. 반에서 중급인 줄로만 알았던 사람이다.,1. 중급 언어 공부는 어렵다.,Kocommon_Gen
"옷이 땀에 젖었다.
     다음 원인에 적절한 답은 무엇일까요?",두 시간 동안 러닝을 했다.,옷을 새로 구입했다.,Hellaswag
"남자가 금연을 시작했다.
     다음 원인에 적절한 답은 무엇일까요?",남자는 담배 중독이다.,남자가 담배를 끊었다.,Hellaswag
"시골에 청년이 남지 않았다.
     다음 원인에 적절한 답은 무엇일까요?",청년들이 모두 도시로 이동했다.,시골에 아이들이 많이 태어났다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {아동,처벌,학대자,적극적,대하다,대만}
1. 대만은 특히 아동 학대자에 대한 처벌에 적극적이다.
2. 아동에게 적극적인 태도를 가져야 합니다.
3. 대만은 아시아 국가 중 하나이다.
4. 학대자는 엄격한 처벌을 받아야 한다.",1. 대만은 특히 아동 학대자에 대한 처벌에 적극적이다.,3. 대만은 아시아 국가 중 하나이다.,Kocommon_Gen
"녹은 초콜릿을 냉장고에 넣었다.
     다음 결과에 적절한 답은 무엇일까요?",초콜릿이 굳었다.,초콜릿의 포장을 뜯었다.,Hellaswag
"여자가 정장을 입었다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 사업 발표회에 가게 되었다.,여자는 체육대회에 나가게 되었다.,Hellaswag
"가방의 끈이 떨어졌다.
     다음 결과에 적절한 답은 무엇일까요?",가방을 수선집에 가져갔다.,가방을 세탁했다.,Hellaswag
"우표를 붙였다.
     다음 결과에 적절한 답은 무엇일까요?",우편을 발송했다.,우편을 받았다.,Hellaswag
"학생이 수업 진도를 따라가지 못했다.
     다음 원인에 적절한 답은 무엇일까요?",학생은 일주일 동안 결석했다.,학생은 매일 등교해 수업을 열심히 들었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {만들다,젓다,때,죽}
1. 죽을 만들 때는 잘 젓지 않으면 안 된다.
2. 저녁 식사로 죽을 끓였다.
3. 새로운 레시피로 죽을 만들었다.
4. 만들다가 더 이상 할 수 없을 때 포기했다.",1. 죽을 만들 때는 잘 젓지 않으면 안 된다.,3. 새로운 레시피로 죽을 만들었다.,Kocommon_Gen
"휴대폰을 새로 샀다.
     다음 원인에 적절한 답은 무엇일까요?",전에 쓰던 휴대폰이 고장났다.,휴대폰에 있던 연락처를 옮겼다.,Hellaswag
"신발이 작아졌다.
     다음 결과에 적절한 답은 무엇일까요?",새로운 신발을 샀다.,발이 커졌다.,Hellaswag
"남자는 새로운 책을 발간했다.
     다음 결과에 적절한 답은 무엇일까요?",남자는 베스트셀러 작가가 되었다.,남자는 서점에 일자리를 얻었다.,Hellaswag
"남자가 제자리뛰기를 했다.
     다음 결과에 적절한 답은 무엇일까요?",남자의 심박수가 빨라졌다.,남자의 심박수가 느려졌다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {가드닝,기본적,식물,기르다,돌보다}
1. 식물을 기르는 것은 취미 생활 중 하나다.
2. 가드닝은 많은 시간을 필요로 한다.
3. 가드닝은 일반적으로 기본적인 식물을 기르고 돌보는 것이다.
4. 돌보다는 관심을 가지고 적극적으로 행동하는 것을 의미한다.",3. 가드닝은 일반적으로 기본적인 식물을 기르고 돌보는 것이다.,2. 가드닝은 많은 시간을 필요로 한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {보내다,가정,전파,방송,방송국}
1. 전파는 전자기파를 의미하기도 한다.
2. 보내다라는 단어는 여러 가지 맥락에서 사용될 수 있다.
3. 방송국은 방송 전파를 각 가정으로 직접 보내 준다.
4. 방송은 많은 가정에 정보를 전달한다.",3. 방송국은 방송 전파를 각 가정으로 직접 보내 준다.,2. 보내다라는 단어는 여러 가지 맥락에서 사용될 수 있다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {어머니,아들,전쟁,불안하다,참가하다}
1. 불안한 마음으로 시험에 참가했다.
2. 전쟁으로 인해 많은 사람들이 피난을 떠났다.
3. 어머니는 항상 아들을 걱정한다.
4. 어머니는 아들이 전쟁에 참가할까 봐 불안했다.",4. 어머니는 아들이 전쟁에 참가할까 봐 불안했다.,2. 전쟁으로 인해 많은 사람들이 피난을 떠났다.,Kocommon_Gen
"여자는 향수를 느꼈다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 오랜만에 동창을 만났다.,여자는 아이들에게 소리 질렀다.,Hellaswag
"도서관에 신간도서가 입고되었다.
     다음 원인에 적절한 답은 무엇일까요?",사람들이 새로운 책을 신청했다.,도서관에 사람이 많다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {심하다,피하다,옷,노출,덥다,날씨}
1. 이렇게 더운 날에는 노출이 많은 옷을 피해야 해.
2. 더운 날씨에는 가볍게 입는 것이 좋다.
3. 요즘 날씨가 너무 더워서 노출이 심한 옷은 피해야 한다.
4. 그 사람은 정말 심하게 옷을 입는다.",3. 요즘 날씨가 너무 더워서 노출이 심한 옷은 피해야 한다.,2. 더운 날씨에는 가볍게 입는 것이 좋다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {맞이하다,헌법,사회,새롭다,만들다}
1. 새롭게 만들어진 법은 사회에 중요하다.
2. 시간이 지나자 헌법을 새로 만들어 새로운 사회를 맞이하였다.
3. 사회는 항상 변화를 맞이한다.
4. 헌법은 국가의 기본이 된다.",2. 시간이 지나자 헌법을 새로 만들어 새로운 사회를 맞이하였다.,4. 헌법은 국가의 기본이 된다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {없다,기다리다,동생,연락,밤늦다,엄마}
1. 엄마는 연락이 없다고 걱정하셨다.
2. 연락을 기다리는 동안 시간이 많이 흘렀다.
3. 엄마는 밤늦도록 연락 없는 막내 동생을 혼자서 기다렸다.
4. 동생이 밤늦게까지 기다리고 있었다.",3. 엄마는 밤늦도록 연락 없는 막내 동생을 혼자서 기다렸다.,4. 동생이 밤늦게까지 기다리고 있었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {평가,어우러지다,감독,연출,한데}
1. 감독과 배우가 한데 모여 대본을 읽었다.
2. 이번 영화는 감독과 연출이 한데 어우러졌다는 평가다.
3. 감독이 작품을 어우러지게 연출했다.
4. 연극의 평가가 좋았다.",2. 이번 영화는 감독과 연출이 한데 어우러졌다는 평가다.,3. 감독이 작품을 어우러지게 연출했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {정도,다스리다,나라,귀족,당시}
1. 그 귀족은 당시에 많은 사람들에게 존경받았다.
2. 다스리다는 것은 본질적으로 어려운 일이다.
3. 나라의 대표는 이번 정도에 맞는 결정을 내렸다.
4. 그 당시는 귀족이 나라를 직접 다스린다고 할 정도였다.",4. 그 당시는 귀족이 나라를 직접 다스린다고 할 정도였다.,1. 그 귀족은 당시에 많은 사람들에게 존경받았다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {이번,달,일,되다}
1. 오늘은 정말 특별한 날이 되다.
2. 매일 그 일을 달성하기는 쉽지 않다.
3. 이번 달은 예상했던 것보다 일이 잘 되었다.
4. 이번 달에 주요 행사가 많다.",3. 이번 달은 예상했던 것보다 일이 잘 되었다.,2. 매일 그 일을 달성하기는 쉽지 않다.,Kocommon_Gen
"회사의 이익이 줄어 들었다.
     다음 결과에 적절한 답은 무엇일까요?",회사가 신제품에 대한 홍보를 시작했다.,신제품에 대한 홍보가 성공했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {저축하다,좋다,마시다,술,아끼다}
1. 아끼고 저축했던 좋은 술을 그는 아낌없이 마셔 버린다.
2. 그녀는 저축하는 것을 좋아한다.
3. 술은 건강에 좋지 않다.
4. 저는 돈을 아끼기 위해 집에서 음식을 마신다.",1. 아끼고 저축했던 좋은 술을 그는 아낌없이 마셔 버린다.,2. 그녀는 저축하는 것을 좋아한다.,Kocommon_Gen
"사려고 했던 물건이 품절되었다.
     다음 결과에 적절한 답은 무엇일까요?",다른 물건을 찾아본다.,할인된 가격으로 구매한다.,Hellaswag
"유튜브 동영상이 멈췄다.
     다음 원인에 적절한 답은 무엇일까요?",와이파이가 잘 연결되지 않았다.,와이파이 연결 상태가 양호했다.,Hellaswag
"여자는 아침에 늦잠을 잤다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 전날 밤을 샜다.,여자는 전날 일찍 잠에 들었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {끝내다,수업,마지막,선생님}
1. 선생님은 마지막까지 집중을 하지 않고 수업을 끝냈다.
2. 이번 학기의 끝내는 행사가 잘 진행되었다.
3. 마지막 페이지를 넘기다가 종이에 손을 찔렸다.
4. 선생님은 수업 시간에 열정적이다.",1. 선생님은 마지막까지 집중을 하지 않고 수업을 끝냈다.,4. 선생님은 수업 시간에 열정적이다.,Kocommon_Gen
"여자가 새치 염색을 했다.
     다음 결과에 적절한 답은 무엇일까요?",여자의 흰머리가 검은색으로 염색되었다.,여자의 검은머리가 흰색으로 염색되었다.,Hellaswag
"남자가 재채기를 했다.
     다음 원인에 적절한 답은 무엇일까요?",남자의 코에 먼지가 들어갔다.,남자의 발에 먼지가 붙었다.,Hellaswag
"목수가 나무를 깎았다.
     다음 결과에 적절한 답은 무엇일까요?",목탑을 완성했다.,석탑을 완성했다.,Hellaswag
"부모님이 생일 케이크를 샀다.
     다음 원인에 적절한 답은 무엇일까요?",오늘은 아이의 생일이다.,오늘은 아이의 장례식날이다.,Hellaswag
"보석 절도범들이 검거되었다.
     다음 결과에 적절한 답은 무엇일까요?",보석은 원래 주인들에게 돌아갔다.,절도범들은 보석을 훔친다.,Hellaswag
"책을 끝까지 다 읽지 못했다
     다음 원인에 적절한 답은 무엇일까요?",책이 어렵고 지루했다,책이 짧고 읽기가 쉬웠다,Hellaswag
"풍차가 돌아간다.
     다음 원인에 적절한 답은 무엇일까요?",바람이 분다.,비가 내린다.,Hellaswag
"편지 봉투를 밀봉했다.
     다음 원인에 적절한 답은 무엇일까요?",편지를 부치려고 한다.,편지를 읽으려고 한다.,Hellaswag
"여자가 호두를 먹고 두드러기가 났다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 견과류 알레르기가 있었다.,여자는 견과류를 아주 좋아했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {담배,불,남자,붙이다}
1. 남자는 담배에 불을 붙여 피우려고 했다.
2. 불이 크게 타올랐다.
3. 담배에 불을 붙이지 마세요.
4. 남자가 담배를 피웠다.",1. 남자는 담배에 불을 붙여 피우려고 했다.,4. 남자가 담배를 피웠다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {하다,밴드,공연,공원,즉흥적}
1. 공원에서 자주 밴드 공연이 열린다.
2. 공연을 보고 싶다고 하다가 갑자기 비가 와서 못 갔다.
3. 밴드가 공원에서 사람들을 모아 즉흥적으로 공연을 했다.
4. 저 밴드는 즉흥적으로 무대를 하다가 관객의 호응을 받았다.",3. 밴드가 공원에서 사람들을 모아 즉흥적으로 공연을 했다.,2. 공연을 보고 싶다고 하다가 갑자기 비가 와서 못 갔다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {우선순위,있다,효율적,일,하다}
1. 우선순위가 중요하다.
2. 효율적으로 일을 관리하다.
3. 일이 있다면 처리해야 한다.
4. 우선순위가 있으면 효율적으로 일을 할 수 있다.",4. 우선순위가 있으면 효율적으로 일을 할 수 있다.,1. 우선순위가 중요하다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {그,잡다,경찰}
1. 잡다한 일에 신경 쓰지 마세요.
2. 조사하던 경찰은 사람을 죽인 그를 방금 잡았다.
3. 경찰이 사건을 해결했다.
4. 그 사람이 도망쳤어.",2. 조사하던 경찰은 사람을 죽인 그를 방금 잡았다.,3. 경찰이 사건을 해결했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {역사,시도하다,작품,개괄,그,시대}
1. 작품을 통해 작가의 생각을 엿볼 수 있다.
2. 그는 좋아하는 이 작품에서 과거 시대의 역사적 개괄을 시도했다.
3. 그는 역사책을 읽으며 시대에 대해 배웠다.
4. 시도하다 보면 결국 성공할 수 있다.",2. 그는 좋아하는 이 작품에서 과거 시대의 역사적 개괄을 시도했다.,1. 작품을 통해 작가의 생각을 엿볼 수 있다.,Kocommon_Gen
"텃밭에서 상추를 수확했다.
     다음 원인에 적절한 답은 무엇일까요?",상추 씨를 심었다.,상추를 맛있게 먹었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {나르다,총,만들다,통,말,시기,전쟁}
1. 그는 자신만의 방식으로 통을 만들었다.
2. 시기가 중요하니, 말을 잘 골라 사용해야 한다.
3. 전쟁 시기에 말이 통을 만들어 총을 마구 날랐다.
4. 전쟁에서 사용하는 총은 매우 위험하다.",3. 전쟁 시기에 말이 통을 만들어 총을 마구 날랐다.,"2. 시기가 중요하니, 말을 잘 골라 사용해야 한다.",Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {분별하다,되다,사람,그르다,옳다}
1. 올바른 판단을 분별하다 난항을 겪었다.
2. 그 사람은 항상 옳지 않은 일을 한다.
3. 정당한 이유가 되다 못해 갈등이 생겼다.
4. 우리는 옳고 그름을 분별하는 사람이 되어야 한다.",4. 우리는 옳고 그름을 분별하는 사람이 되어야 한다.,1. 올바른 판단을 분별하다 난항을 겪었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {나오다,디자인,책,예쁘다}
1. 책 디자인이 유행에 맞게 예쁘고 상큼하게 잘 나왔다.
2. 나오다는 무언가가 나타나거나 나타내는 행동이다.
3. 그 디자인은 정말 예쁘다.
4. 책에서 나오는 정보는 매우 유용하다.",1. 책 디자인이 유행에 맞게 예쁘고 상큼하게 잘 나왔다.,2. 나오다는 무언가가 나타나거나 나타내는 행동이다.,Kocommon_Gen
"승객들이 기차에서 내렸다.
     다음 원인에 적절한 답은 무엇일까요?",기차가 역에 도착했다.,기차가 경적을 울렸다.,Hellaswag
"천체 망원경으로 달을 관찰했다.
     다음 결과에 적절한 답은 무엇일까요?",달이 매우 크고 자세히 보인다.,달이 매우 조그맣게 보인다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {사람,날쌔다,따라가다,아무}
1. 저 사람은 너무 날쌔서 아무도 못 따라간다.
2. 아무도 그 비밀을 모른다.
3. 그 사람은 정말로 빨리 달린다.
4. 새들이 날쌔게 하늘을 날아간다.",1. 저 사람은 너무 날쌔서 아무도 못 따라간다.,4. 새들이 날쌔게 하늘을 날아간다.,Kocommon_Gen
"여자가 매일밤 중국어 드라마를 자막 없이 보았다.
     다음 결과에 적절한 답은 무엇일까요?",여자의 중국어 실력이 좋아졌다.,여자는 중국어를 전혀 할 줄 몰랐다.,Hellaswag
"여자가 찍은 영상이 흔들림이 심했다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 수전증을 가지고 있었다.,여자는 다한증을 가지고 있었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {행복하다,하다,상상,보다,창밖,친구}
1. 창밖을 보며 상상의 세계에 빠져본다.
2. 친구와 함께 행복하다.
3. 친구는 창밖을 멍하니 보다가 행복한 상상을 했다.
4. 상상 속에서 나만의 세계를 만들어보다.",3. 친구는 창밖을 멍하니 보다가 행복한 상상을 했다.,2. 친구와 함께 행복하다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {쳐다보다,얼굴,인숙이,형}
1. 그녀는 형에게 얼굴을 돌렸다.
2. 인숙이는 형을 불렀다.
3. 얼굴을 쳐다본다는 것은 때로는 무례할 수 있다.
4. 형은 또 유심히 인숙이의 작은 얼굴을 쳐다보았다.",4. 형은 또 유심히 인숙이의 작은 얼굴을 쳐다보았다.,3. 얼굴을 쳐다본다는 것은 때로는 무례할 수 있다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {받다,복,동화,마지막,사람,착하다}
1. 마지막 페이지를 접으며 동화책을 닫았다.
2. 운이 좋으면 큰 복을 받을 수 있다.
3. 이 동화의 마지막에는 착한 사람이 복을 받는다.
4. 그 사람은 정말 착하다고 소문이 나 있다.",3. 이 동화의 마지막에는 착한 사람이 복을 받는다.,1. 마지막 페이지를 접으며 동화책을 닫았다.,Kocommon_Gen
"여자는 독서를 좋아했다.
     다음 결과에 적절한 답은 무엇일까요?",여자의 집에는 책이 많았다.,여자의 집에는 비디오테이프가 많았다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {주장하다,사고,사건}
1. 그 두 사건은 서로 주장하는 것이 서로 다른 사고이다.
2. 당신의 주장에는 사실이 부족하다.
3. 이번 사건은 많은 이들의 관심을 끌었다.
4. 그가 사고 적인 성격을 가지고 있다고 주장했다.",1. 그 두 사건은 서로 주장하는 것이 서로 다른 사고이다.,3. 이번 사건은 많은 이들의 관심을 끌었다.,Kocommon_Gen
